World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,ExpPoints Formatted
36,16,8869354491,Bt,322,warrior,453,Princess,0,3,3,3,3,0,111321691,2,177.387.090,443.467.725,886.935.449,443.467.725,177.387.090,0,8.869.354.491
02,17,8749587908,Pattriick,321,warrior,476,Dream Team,0,3,3,8,6,0,186655044,4,174.991.758,437.479.395,874.958.791,437.479.395,174.991.758,0,8.749.587.908
35,18,8523211923,Hefestuus,319,wizard,252,Guardioes,0,3,1,0,65,0,3750748,18,170.464.238,426.160.596,852.321.192,426.160.596,170.464.238,0,8.523.211.923
33,19,8474292812,Emizuno,319,wizard,428,E Class,0,1,1,21,9,0,38334335,6,169.485.856,423.714.641,847.429.281,423.714.641,169.485.856,0,8.474.292.812
09,20,8419089476,Maddina,318,warrior,327,Edc,0,1,1,93,49,0,1683232,79,168.381.790,420.954.474,841.908.948,420.954.474,168.381.790,0,8.419.089.476
23,21,8257243927,Tje,316,warrior,384,Handler0ne,0,2,2,36,27,0,2743451,62,165.144.879,412.862.196,825.724.393,412.862.196,165.144.879,0,8.257.243.927
37,22,8038637101,Xenojiva,314,warrior,476,H Y D R A,0,2,2,4,3,0,81994266,3,160.772.742,401.931.855,803.863.710,401.931.855,160.772.742,0,8.038.637.101
23,23,7756998753,Omvito,312,warrior,413,Big Family,0,3,3,16,10,0,4117480,48,155.139.975,387.849.938,775.699.875,387.849.938,155.139.975,0,7.756.998.753
11,24,7701384217,Lietuwa,311,warrior,433,L T U,10,2,2,15,9,45,225017120,2,154.027.684,385.069.211,770.138.422,385.069.211,154.027.684,0,7.701.384.217
07,25,7625772145,Wulan,310,warrior,418,Life Alone,0,1,1,10,7,0,192421753,2,152.515.443,381.288.607,762.577.214,381.288.607,152.515.443,0,7.625.772.145
11,26,7376104399,Yumi,308,warrior,383,Holy Nitro,0,3,3,61,35,0,35234136,18,147.522.088,368.805.220,737.610.440,368.805.220,147.522.088,0,7.376.104.399
01,27,7251558393,Goldza,306,wizard,313,Suicide Sq,0,3,2,0,73,0,0,0,145.031.168,362.577.920,725.155.839,362.577.920,145.031.168,0,7.251.558.393
15,28,7229976552,Floryna,306,warrior,425,Hell Gate,0,2,1,18,13,0,14353668,31,144.599.531,361.498.828,722.997.655,361.498.828,144.599.531,0,7.229.976.552
02,29,7083521941,Avex,305,warrior,458,Gothsterz,0,4,4,10,7,0,859851517,1,141.670.439,354.176.097,708.352.194,354.176.097,141.670.439,0,7.083.521.941
15,30,6934022535,Captnfz,303,warrior,414,Y O U,20,3,2,28,20,2,396899359,3,138.680.451,346.701.127,693.402.254,346.701.127,138.680.451,0,6.934.022.535
15,31,6795269663,Powerwizz,301,wizard,306,Deadlysinz,0,4,2,0,91,0,36420969,17,135.905.393,339.763.483,679.526.966,339.763.483,135.905.393,0,6.795.269.663
36,32,6707171026,Xtroyz,301,warrior,333,Damai,0,4,4,64,46,0,12028180,16,134.143.421,335.358.551,670.717.103,335.358.551,134.143.421,0,6.707.171.026
33,33,6687083528,Newlife,300,wizard,376,Texas,0,2,2,44,17,0,548214731,1,133.741.671,334.354.176,668.708.353,334.354.176,133.741.671,0,6.687.083.528
36,34,6682516001,Wolfmann,300,warrior,418,Princess,0,5,5,11,8,0,111321691,2,133.650.320,334.125.800,668.251.600,334.125.800,133.650.320,0,6.682.516.001
07,35,6588379308,Nightmare,299,warrior,321,Th3 Army,0,2,2,75,47,0,7985724,41,131.767.586,329.418.965,658.837.931,329.418.965,131.767.586,0,6.588.379.308
23,36,6587459553,Batamkingz,299,warrior,382,Enjoy,0,4,4,37,28,0,194635315,3,131.749.191,329.372.978,658.745.955,329.372.978,131.749.191,0,6.587.459.553
02,37,6533838622,Destroyers,299,warrior,351,Dream Team,0,5,5,67,45,0,186655044,4,130.676.772,326.691.931,653.383.862,326.691.931,130.676.772,0,6.533.838.622
33,38,6497755748,Siuoxing,298,wizard,352,8 Dewa,0,3,3,53,21,14,156051651,2,129.955.115,324.887.787,649.775.575,324.887.787,129.955.115,0,6.497.755.748
37,39,6356168928,Mahadewa,297,wizard,382,B L U E,0,3,1,29,11,0,243342,95,127.123.379,317.808.446,635.616.893,317.808.446,127.123.379,0,6.356.168.928
01,40,6331771865,Ibiz,296,warrior,331,Suicide Sq,0,4,2,0,79,0,0,0,126.635.437,316.588.593,633.177.186,316.588.593,126.635.437,0,6.331.771.865
33,41,6286344877,Agods,296,warrior,564,Texas,0,4,1,1,1,0,548214731,1,125.726.898,314.317.244,628.634.488,314.317.244,125.726.898,0,6.286.344.877
35,42,6267048552,Disney,295,warrior,358,New Star,0,4,3,28,14,0,544357335,1,125.340.971,313.352.428,626.704.855,313.352.428,125.340.971,0,6.267.048.552
32,43,6186079164,Elsmokey,295,warrior,415,Solo Army,0,2,2,25,16,0,338461959,2,123.721.583,309.303.958,618.607.916,309.303.958,123.721.583,0,6.186.079.164
36,44,6183824829,Yj,294,warrior,397,Damai,0,6,6,19,11,0,12028180,16,123.676.497,309.191.241,618.382.483,309.191.241,123.676.497,0,6.183.824.829
34,45,6110613939,Donvito,294,warrior,314,Kgb,0,3,2,50,36,0,715785,48,122.212.279,305.530.697,611.061.394,305.530.697,122.212.279,0,6.110.613.939
23,46,6020900609,Zhun,293,wizard,340,Lunaticos,0,5,1,88,31,0,268123295,2,120.418.012,301.045.030,602.090.061,301.045.030,120.418.012,0,6.020.900.609
36,47,5936521907,Btt,292,wizard,403,Princess,0,7,1,16,7,0,111321691,2,118.730.438,296.826.095,593.652.191,296.826.095,118.730.438,0,5.936.521.907
33,48,5851976455,Beethoven,290,wizard,439,Texas,0,5,4,15,5,0,548214731,1,117.039.529,292.598.823,585.197.646,292.598.823,117.039.529,0,5.851.976.455
34,49,5821990794,Thuanvisad,290,warrior,297, ,0,4,3,59,42,0,0,0,116.439.816,291.099.540,582.199.079,291.099.540,116.439.816,0,5.821.990.794
02,50,5785940224,Dreikmito,290,warrior,456,Brazil Top,0,6,6,12,8,0,277979883,3,115.718.804,289.297.011,578.594.022,289.297.011,115.718.804,0,5.785.940.224
36,51,5723638797,Blvcklist,289,wizard,406,Princess,0,8,2,15,6,0,111321691,2,114.472.776,286.181.940,572.363.880,286.181.940,114.472.776,0,5.723.638.797
37,52,5691992332,Barracuda,288,warrior,345,Beast Mode,0,4,3,51,33,0,193647090,1,113.839.847,284.599.617,569.199.233,284.599.617,113.839.847,0,5.691.992.332
33,53,5657508833,Heaven,288,warrior,327,Texas,0,6,2,83,52,0,548214731,1,113.150.177,282.875.442,565.750.883,282.875.442,113.150.177,0,5.657.508.833
33,54,5585087282,Ngui,287,wizard,452, ,15,7,5,7,1,16,0,0,111.701.746,279.254.364,558.508.728,279.254.364,111.701.746,0,5.585.087.282
07,55,5560190239,Wixvstar,287,warrior,335,D3stroy3rz,0,3,3,53,32,0,47950965,18,111.203.805,278.009.512,556.019.024,278.009.512,111.203.805,0,5.560.190.239
33,56,5530482764,Moonlife,286,wizard,415,Venice,0,8,6,24,10,0,4161950,37,110.609.655,276.524.138,553.048.276,276.524.138,110.609.655,0,5.530.482.764
34,57,5528731834,Ery,286,warrior,477, ,0,5,4,1,1,0,0,0,110.574.637,276.436.592,552.873.183,276.436.592,110.574.637,0,5.528.731.834
15,58,5525426655,Aladin,286,warrior,421,Deadlysinz,0,5,3,21,14,0,36420969,17,110.508.533,276.271.333,552.542.666,276.271.333,110.508.533,0,5.525.426.655
35,59,5524758673,Mrevill,286,warrior,374,New Star,0,5,4,20,10,0,544357335,1,110.495.173,276.237.934,552.475.867,276.237.934,110.495.173,0,5.524.758.673
37,60,5511424604,Fi,286,warrior,268,Beast Mode,0,5,4,0,0,0,193647090,1,110.228.492,275.571.230,551.142.460,275.571.230,110.228.492,0,5.511.424.604
01,61,5489419246,Draxton,286,warrior,427,W I N E,0,5,3,23,12,0,0,0,109.788.385,274.470.962,548.941.925,274.470.962,109.788.385,0,5.489.419.246
36,62,5454319353,Sun,285,warrior,467,Sun Shine,0,9,7,1,1,0,16608688,9,109.086.387,272.715.968,545.431.935,272.715.968,109.086.387,0,5.454.319.353
01,63,5403775778,Ibizzz,285,warrior,363,Suicide Sq,0,6,4,73,43,0,0,0,108.075.516,270.188.789,540.377.578,270.188.789,108.075.516,0,5.403.775.778
37,64,5353722546,Iceman,284,warrior,319, ,0,6,5,73,44,0,0,0,107.074.451,267.686.127,535.372.255,267.686.127,107.074.451,0,5.353.722.546
32,65,5340671543,Friends,284,warrior,318,Militaryw8,0,3,3,0,0,0,115005099,6,106.813.431,267.033.577,534.067.154,267.033.577,106.813.431,0,5.340.671.543
36,66,5320286537,Ohlwanlaa,284,warrior,289,Alcatraz,0,10,8,0,76,0,3956790,30,106.405.731,266.014.327,532.028.654,266.014.327,106.405.731,0,5.320.286.537
01,67,5315293629,Microboy,284,wizard,451,W I N E,0,7,3,14,6,0,0,0,106.305.873,265.764.681,531.529.363,265.764.681,106.305.873,0,5.315.293.629
33,68,5308490739,Fairy,284,wizard,333,Main Land,0,9,7,76,28,5,8219455,19,106.169.815,265.424.537,530.849.074,265.424.537,106.169.815,0,5.308.490.739
02,69,5289747657,Maling,283,wizard,304,Dream Team,0,7,1,0,62,0,186655044,4,105.794.953,264.487.383,528.974.766,264.487.383,105.794.953,0,5.289.747.657
02,70,5223634148,Aleksandre,282,warrior,518,Gothsterz,0,8,7,3,3,0,859851517,1,104.472.683,261.181.707,522.363.415,261.181.707,104.472.683,0,5.223.634.148
34,71,5202524318,Snolled,282,warrior,369,Red Cherry,0,6,5,21,15,0,2049904,25,104.050.486,260.126.216,520.252.432,260.126.216,104.050.486,0,5.202.524.318
11,72,5187955488,Ramjons,282,warrior,325,Holy Nitro,0,4,4,0,0,0,35234136,18,103.759.110,259.397.774,518.795.549,259.397.774,103.759.110,0,5.187.955.488
15,73,5164127107,Shinsei,282,warrior,380,Hell Gate,0,6,4,56,32,0,14353668,31,103.282.542,258.206.355,516.412.711,258.206.355,103.282.542,0,5.164.127.107
33,74,5147940810,iVTEC,281,warrior,386,The Prayer,0,10,3,37,22,0,34317780,8,102.958.816,257.397.040,514.794.081,257.397.040,102.958.816,0,5.147.940.810
11,75,5136424690,Baobei,281,warrior,363,Holy Nitro,0,5,5,94,55,0,35234136,18,102.728.494,256.821.234,513.642.469,256.821.234,102.728.494,0,5.136.424.690
02,76,5105871273,Sharingan,281,wizard,334,Pau Mole,0,9,2,92,35,0,0,0,102.117.425,255.293.564,510.587.127,255.293.564,102.117.425,0,5.105.871.273
36,77,5105451469,Kv,281,warrior,341,Damai,0,11,9,57,40,0,12028180,16,102.109.029,255.272.573,510.545.147,255.272.573,102.109.029,0,5.105.451.469
15,78,5078558293,Powerful,280,warrior,467, ,0,7,5,10,7,0,0,0,101.571.166,253.927.915,507.855.829,253.927.915,101.571.166,0,5.078.558.293
36,79,5045222587,Btz,280,warrior,430,Princess,0,12,10,8,7,0,111321691,2,100.904.452,252.261.129,504.522.259,252.261.129,100.904.452,0,5.045.222.587
35,80,5043022833,Onlyone,280,warrior,252,New Star,0,6,5,0,74,0,544357335,1,100.860.457,252.151.142,504.302.283,252.151.142,100.860.457,0,5.043.022.833
11,81,5038992914,Dexsyer,280,warrior,342,Lovenlive,0,6,6,0,79,0,438317429,1,100.779.858,251.949.646,503.899.291,251.949.646,100.779.858,0,5.038.992.914
09,82,5038657652,Faaz,280,warrior,278,S W A T,20,2,2,0,0,8,25787976,23,100.773.153,251.932.883,503.865.765,251.932.883,100.773.153,0,5.038.657.652
01,83,5028753167,Thekingleo,280,warrior,385,Game Over,0,8,5,51,30,0,91231635,10,100.575.063,251.437.658,502.875.317,251.437.658,100.575.063,0,5.028.753.167
34,84,5013102044,Rainie,279,wizard,289,Icecreams,0,7,2,67,21,0,1893012,27,100.262.041,250.655.102,501.310.204,250.655.102,100.262.041,0,5.013.102.044
37,85,4972995491,Fii,279,wizard,325,Beast Mode,0,7,2,67,27,0,193647090,1,99.459.910,248.649.775,497.299.549,248.649.775,99.459.910,0,4.972.995.491
35,86,4970978886,Fleura,279,warrior,360,New Star,0,7,6,27,11,0,544357335,1,99.419.578,248.548.944,497.097.889,248.548.944,99.419.578,0,4.970.978.886
01,87,4933195886,Keko,278,wizard,241,The Best,0,9,4,0,0,0,0,0,98.663.918,246.659.794,493.319.589,246.659.794,98.663.918,0,4.933.195.886
01,88,4925880358,Kmor,278,warrior,419,After Rain,0,10,6,28,16,0,32832263,23,98.517.607,246.294.018,492.588.036,246.294.018,98.517.607,0,4.925.880.358
37,89,4924938702,Nextboomzz,278,warrior,351,H Y D R A,0,8,6,43,27,0,81994266,3,98.498.774,246.246.935,492.493.870,246.246.935,98.498.774,0,4.924.938.702
07,90,4890670688,Furywiz,278,wizard,294,L3g3ndary,0,4,1,0,53,0,34238929,19,97.813.414,244.533.534,489.067.069,244.533.534,97.813.414,0,4.890.670.688
02,91,4856336547,Strainnn,277,warrior,307,Gothsterz,0,10,8,0,90,0,859851517,1,97.126.731,242.816.827,485.633.655,242.816.827,97.126.731,0,4.856.336.547
37,92,4855773167,Legendxb,277,warrior,434, ,0,9,7,11,10,0,0,0,97.115.463,242.788.658,485.577.317,242.788.658,97.115.463,0,4.855.773.167
34,93,4839847298,Ladyyim,277,warrior,435,Reverse,0,8,6,7,4,0,429132582,1,96.796.946,241.992.365,483.984.730,241.992.365,96.796.946,0,4.839.847.298
33,94,4823626217,Hyuse,277,warrior,450,The Prayer,0,11,4,9,8,0,34317780,8,96.472.524,241.181.311,482.362.622,241.181.311,96.472.524,0,4.823.626.217
15,95,4812820493,Powerfuly,277,warrior,327, ,0,8,6,0,0,0,0,0,96.256.410,240.641.025,481.282.049,240.641.025,96.256.410,0,4.812.820.493
01,96,4800644030,Helios,276,warrior,256,W I N E,0,11,7,0,0,0,0,0,96.012.881,240.032.202,480.064.403,240.032.202,96.012.881,0,4.800.644.030
01,97,4794521750,Jackdaniel,276,warrior,313,After Rain,0,12,8,0,0,0,32832263,23,95.890.435,239.726.088,479.452.175,239.726.088,95.890.435,0,4.794.521.750
36,98,4776891609,Btr,276,wizard,425,Princess,0,13,3,9,3,0,111321691,2,95.537.832,238.844.580,477.689.161,238.844.580,95.537.832,0,4.776.891.609
23,99,4744666281,Qzlxl,276,warrior,417,P E A C E,0,6,5,15,9,0,41404016,13,94.893.326,237.233.314,474.466.628,237.233.314,94.893.326,0,4.744.666.281
34,100,4679763444,Ry,275,wizard,270, ,0,9,3,89,32,0,0,0,93.595.269,233.988.172,467.976.344,233.988.172,93.595.269,0,4.679.763.444
01,101,4671835015,Jenderal,275,warrior,373,Sri Gala,0,13,9,60,36,0,102755498,9,93.436.700,233.591.751,467.183.502,233.591.751,93.436.700,0,4.671.835.015
35,102,4670895916,Kirrito,275,warrior,305,Guardioes,0,8,7,66,34,0,3750748,18,93.417.918,233.544.796,467.089.592,233.544.796,93.417.918,0,4.670.895.916
01,103,4642055101,Kairiz,274,wizard,361,Suicide Sq,0,14,5,75,32,0,0,0,92.841.102,232.102.755,464.205.510,232.102.755,92.841.102,0,4.642.055.101
02,104,4640481198,Xvdrz,274,warrior,355,Ai Migos,0,11,9,63,41,0,0,0,92.809.624,232.024.060,464.048.120,232.024.060,92.809.624,0,4.640.481.198
33,105,4640216387,Lakers,274,warrior,323,The Prayer,0,12,5,88,58,0,34317780,8,92.804.328,232.010.819,464.021.639,232.010.819,92.804.328,0,4.640.216.387
32,106,4611823455,Mfourc,274,warrior,290,Javanesse,5,4,4,0,0,81,316044660,3,92.236.469,230.591.173,461.182.346,230.591.173,92.236.469,0,4.611.823.455
01,107,4603986205,Kingleo,274,wizard,338,Game Over,0,15,6,0,45,0,91231635,10,92.079.724,230.199.310,460.398.620,230.199.310,92.079.724,0,4.603.986.205
11,108,4543815681,Love,273,wizard,509,Lovenlive,0,7,1,2,2,0,438317429,1,90.876.314,227.190.784,454.381.568,227.190.784,90.876.314,0,4.543.815.681
11,109,4523806478,Yonko,272,warrior,421,Holy Nitro,0,8,7,20,13,0,35234136,18,90.476.130,226.190.324,452.380.648,226.190.324,90.476.130,0,4.523.806.478
33,110,4522285766,Emizune,272,wizard,309,E Class,0,13,8,0,38,0,38334335,6,90.445.715,226.114.288,452.228.577,226.114.288,90.445.715,0,4.522.285.766
23,111,4494521937,Kingmans,272,warrior,313,L O V E R,0,7,6,0,92,0,12750913,32,89.890.439,224.726.097,449.452.194,224.726.097,89.890.439,0,4.494.521.937
01,112,4462316949,Batavia,272,warrior,332,W I N E,0,16,10,0,78,0,0,0,89.246.339,223.115.847,446.231.695,223.115.847,89.246.339,0,4.462.316.949
37,113,4450571986,Apak,271,wizard,403, ,0,10,3,20,6,0,0,0,89.011.440,222.528.599,445.057.199,222.528.599,89.011.440,0,4.450.571.986
33,114,4401429425,Odading,271,warrior,511,8 Dewa,15,14,6,4,4,15,156051651,2,88.028.588,220.071.471,440.142.942,220.071.471,88.028.588,0,4.401.429.425
01,115,4366534036,Hanma,270,warrior,280,T6tiau,0,17,11,0,0,0,33030886,22,87.330.681,218.326.702,436.653.404,218.326.702,87.330.681,0,4.366.534.036
36,116,4358442983,Fernandez,270,warrior,327, ,0,14,11,73,50,0,0,0,87.168.860,217.922.149,435.844.298,217.922.149,87.168.860,0,4.358.442.983
32,117,4342626862,Smokewiz,270,wizard,374,Solo Army,0,5,1,58,16,0,338461959,2,86.852.537,217.131.343,434.262.686,217.131.343,86.852.537,0,4.342.626.862
01,118,4341610371,Kingangry,270,wizard,195,The Best,0,18,7,0,0,0,0,0,86.832.207,217.080.519,434.161.037,217.080.519,86.832.207,0,4.341.610.371
32,119,4341138222,Jeixy,270,warrior,451,90s,0,6,5,11,7,0,8389414,45,86.822.764,217.056.911,434.113.822,217.056.911,86.822.764,0,4.341.138.222
09,120,4340649359,Exhausted,270,wizard,331,D A M A I,0,3,1,85,40,0,96204444,6,86.812.987,217.032.468,434.064.936,217.032.468,86.812.987,0,4.340.649.359
15,121,4336286544,Bybee,270,warrior,263,Deadlysinz,0,9,7,0,0,0,36420969,17,86.725.731,216.814.327,433.628.654,216.814.327,86.725.731,0,4.336.286.544
37,122,4334414200,Baerchi,270,warrior,384,Full House,0,11,8,28,18,0,6162444,16,86.688.284,216.720.710,433.441.420,216.720.710,86.688.284,0,4.334.414.200
01,123,4333550890,Heiniken,270,wizard,395,W I N E,0,19,8,41,19,0,0,0,86.671.018,216.677.544,433.355.089,216.677.544,86.671.018,0,4.333.550.890
11,124,4315003742,Viv,269,warrior,343,Lovenlive,0,9,8,0,77,0,438317429,1,86.300.075,215.750.187,431.500.374,215.750.187,86.300.075,0,4.315.003.742
33,125,4306672016,Machau,269,warrior,559,Texas,0,15,7,2,2,0,548214731,1,86.133.440,215.333.601,430.667.202,215.333.601,86.133.440,0,4.306.672.016
15,126,4302216823,Khalaf,269,wizard,414,Deadlysinz,0,10,3,30,9,0,36420969,17,86.044.336,215.110.841,430.221.682,215.110.841,86.044.336,0,4.302.216.823
34,127,4288445158,Musashi,269,warrior,437,Reverse,0,10,7,6,3,0,429132582,1,85.768.903,214.422.258,428.844.516,214.422.258,85.768.903,0,4.288.445.158
01,128,4281694284,Braxton,269,warrior,349,W I N E,0,20,12,88,53,0,0,0,85.633.886,214.084.714,428.169.428,214.084.714,85.633.886,0,4.281.694.284
01,129,4279089876,Tarun,269,warrior,279,After Rain,0,21,13,0,0,0,32832263,23,85.581.798,213.954.494,427.908.988,213.954.494,85.581.798,0,4.279.089.876
02,130,4258703221,Guitar,268,warrior,236,Avatar War,0,12,10,0,0,0,566030220,2,85.174.064,212.935.161,425.870.322,212.935.161,85.174.064,0,4.258.703.221
15,131,4247935419,Powerfull,268,warrior,320,Deadlysinz,0,11,8,0,0,0,36420969,17,84.958.708,212.396.771,424.793.542,212.396.771,84.958.708,0,4.247.935.419
02,132,4182534546,Tiobidy,267,warrior,381,R T F,0,13,11,39,28,0,45275170,11,83.650.691,209.126.727,418.253.455,209.126.727,83.650.691,0,4.182.534.546
09,133,4169858166,Rustez,267,warrior,310,New Born,0,4,3,0,78,0,43573161,13,83.397.163,208.492.908,416.985.817,208.492.908,83.397.163,0,4.169.858.166
11,134,4160357407,Ivory,267,wizard,293,Flyang3l,0,10,2,0,0,0,5002862,70,83.207.148,208.017.870,416.035.741,208.017.870,83.207.148,0,4.160.357.407
34,135,4157830850,Ladyyem,267,warrior,388,Reverse,0,11,8,11,6,0,429132582,1,83.156.617,207.891.542,415.783.085,207.891.542,83.156.617,0,4.157.830.850
02,136,4142802425,Alkogolik,267,wizard,329,Gothsterz,0,14,3,0,39,0,859851517,1,82.856.048,207.140.121,414.280.242,207.140.121,82.856.048,0,4.142.802.425
15,137,4111790866,Vyschalya,266,wizard,476, ,0,12,4,7,2,0,0,0,82.235.817,205.589.543,411.179.087,205.589.543,82.235.817,0,4.111.790.866
02,138,4111766133,Expz,266,warrior,360,Gothsterz,0,15,12,59,38,0,859851517,1,82.235.323,205.588.307,411.176.613,205.588.307,82.235.323,0,4.111.766.133
23,139,4106540887,Marinee,266,warrior,451,P E A C E,0,8,7,5,3,0,41404016,13,82.130.818,205.327.044,410.654.089,205.327.044,82.130.818,0,4.106.540.887
34,140,4095508417,Feifei,266,warrior,242,X Reunion,0,12,9,0,86,0,49039657,5,81.910.168,204.775.421,409.550.842,204.775.421,81.910.168,0,4.095.508.417
23,141,4091235683,Arjuna,266,warrior,388,War 87,0,9,8,32,24,0,14803386,25,81.824.714,204.561.784,409.123.568,204.561.784,81.824.714,0,4.091.235.683
02,142,4072783732,Exploz,265,warrior,522,Thekillers,0,16,13,2,2,0,8612933,36,81.455.675,203.639.187,407.278.373,203.639.187,81.455.675,0,4.072.783.732
23,143,4070906744,Wehrwolf,265,wizard,295,Crusaders,0,10,2,0,79,0,530601559,1,81.418.135,203.545.337,407.090.674,203.545.337,81.418.135,0,4.070.906.744
15,144,4059382854,Mgsot,265,warrior,445,Deadlysinz,0,13,9,12,9,0,36420969,17,81.187.657,202.969.143,405.938.285,202.969.143,81.187.657,0,4.059.382.854
32,145,4055878411,Reixy,265,wizard,470,90s,0,7,2,4,2,0,8389414,45,81.117.568,202.793.921,405.587.841,202.793.921,81.117.568,0,4.055.878.411
02,146,4041689072,Grock,265,warrior,331,Dream Team,0,17,14,98,62,0,186655044,4,80.833.781,202.084.454,404.168.907,202.084.454,80.833.781,0,4.041.689.072
35,147,4036351045,Btc,265,wizard,339,Ekipa,0,9,2,38,18,0,2113649,30,80.727.021,201.817.552,403.635.104,201.817.552,80.727.021,0,4.036.351.045
02,148,4022992796,Fabiobr,265,warrior,294,Infinity,0,18,15,0,0,0,33476050,14,80.459.856,201.149.640,402.299.280,201.149.640,80.459.856,0,4.022.992.796
33,149,4013562959,Ezagna,264,warrior,382,L A N L A,0,16,8,40,25,0,113475823,3,80.271.259,200.678.148,401.356.296,200.678.148,80.271.259,0,4.013.562.959
09,150,3999770958,Giyu,264,warrior,394,D A M A I,0,5,4,16,9,0,96204444,6,79.995.419,199.988.548,399.977.096,199.988.548,79.995.419,0,3.999.770.958
32,151,3981264455,All,264,warrior,387,Haoxiangni,0,8,6,43,31,0,134602058,5,79.625.289,199.063.223,398.126.446,199.063.223,79.625.289,0,3.981.264.455
35,152,3977159199,Odiinn,264,warrior,360,Blackbulls,0,10,8,25,13,0,148504530,4,79.543.184,198.857.960,397.715.920,198.857.960,79.543.184,0,3.977.159.199
34,153,3974075006,Ztao,264,warrior,375,L A N L A,0,13,10,19,13,0,91116146,3,79.481.500,198.703.750,397.407.501,198.703.750,79.481.500,0,3.974.075.006
35,154,3970510374,Barbaro,264,warrior,281,Guardioes,0,11,9,97,53,0,3750748,18,79.410.207,198.525.519,397.051.037,198.525.519,79.410.207,0,3.970.510.374
33,155,3964930783,Leonheartz,264,warrior,379,H O N O R,0,17,9,41,26,0,5123924,28,79.298.616,198.246.539,396.493.078,198.246.539,79.298.616,0,3.964.930.783
11,156,3952076646,Xue,263,wizard,323,Lovenlive,0,11,3,0,77,0,438317429,1,79.041.533,197.603.832,395.207.665,197.603.832,79.041.533,0,3.952.076.646
01,157,3936232150,Best,263,warrior,181,The Best,0,22,14,0,0,0,0,0,78.724.643,196.811.608,393.623.215,196.811.608,78.724.643,0,3.936.232.150
32,158,3935876677,Etaro,263,wizard,256,Haoxiangni,0,9,3,0,0,0,134602058,5,78.717.534,196.793.834,393.587.668,196.793.834,78.717.534,0,3.935.876.677
36,159,3927677584,Poseidon,263,warrior,341,Princess,0,15,12,55,37,0,111321691,2,78.553.552,196.383.879,392.767.758,196.383.879,78.553.552,0,3.927.677.584
